SiteName,Easting,Northing
0,,
J39/0545,1446159.0,5068944.0
J39/0553,1451950.0,5082020.0
J39/0555,1452825.0,5063160.0
J39/0562,1458860.0,5088140.0
J39/0565,1451245.0,5077233.0
J39/0651,1452069.0,5060456.0
J39/0661,1453110.0,5058999.0
J39/0663,1457141.0,5077276.0
J39/0669,1455838.0,5073232.0
J39/0679,1457873.0,5077889.0
J39/0686,1449964.0,5075015.0
J39/0689,1454336.0,5067967.0
J39/0690,1453896.0,5068039.0
J39/0692,1451077.0,5065266.0
J39/0696,1449624.0,5059387.0
J39/0701,1438177.0,5083787.0
J39/0702,1445593.0,5069292.0
J39/0705,1438244.0,5085753.0
J39/0714,1449935.0,5085619.0
J39/0716,1441923.0,5063517.0
J39/0719,1437708.0,5085353.0
J39/0739,1456987.0,5087862.0
J39/0766,1458944.0,5087733.0
J39/0889,1445355.0,5063017.0
J39/0904,1456250.0,5072901.0
J40/0003,1453346.0,5056409.0
J40/0007,1450700.0,5047072.0
J40/0011,1451546.0,5045689.0
J40/0012,1450733.0,5046661.0
J40/0016,1445991.0,5042754.0
J40/0019,1443630.0,5048785.0
J40/0022,1448503.0,5044559.0
J40/0023,1442381.0,5055206.0
J40/0025,1448789.0,5050467.0
J40/0032,1453304.0,5052009.0
J40/0038,1450975.0,5040890.0
J40/0042,1453756.0,5056055.0
J40/0044,1453948.0,5036222.0
J40/0047,1452200.0,5049617.0
J40/0051,1451537.0,5037085.0
J40/0053,1450063.0,5033235.0
J40/0054,1449991.0,5046922.0
J40/0056,1449906.0,5037716.0
J40/0057,1445853.0,5039050.0
J40/0059,1447395.0,5039409.0
J40/0061,1450144.0,5044981.0
J40/0064,1448459.0,5050527.0
J40/0065,1453308.0,5052565.0
J40/0073,1446944.0,5043617.0
J40/0074,1454483.0,5029052.0
J40/0076,1439622.0,5029948.0
J40/0077,1448170.0,5029408.0
J40/0079,1450549.0,5035320.0
J40/0080,1447160.0,5045372.0
J40/0081,1449213.0,5050430.0
J40/0083,1443911.0,5045239.0
J40/0085,1452437.0,5052699.0
J40/0086,1451871.0,5030280.0
J40/0089,1435605.0,5029231.0
J40/0094,1433589.0,5029432.0
J40/0095,1453558.0,5045758.0
J40/0097,1454551.0,5035467.0
J40/0101,1428347.0,5030196.0
J40/0104,1430983.0,5031276.0
J40/0105,1449426.0,5030440.0
J40/0106,1452766.0,5029656.0
J40/0108,1454675.0,5039892.0
J40/0109,1449677.0,5037589.0
J40/0111,1450242.0,5037230.0
J40/0112,1451094.0,5037410.0
J40/0113,1453454.0,5037929.0
J40/0114,1453776.0,5038792.0
J40/0115,1451277.0,5037690.0
J40/0116,1451159.0,5035000.0
J40/0117,1451328.0,5035970.0
J40/0118,1453470.0,5032886.0
J40/0119,1454239.0,5033793.0
J40/0120,1451018.0,5032408.0
J40/0121,1453736.0,5031236.0
J40/0122,1454075.0,5031295.0
J40/0123,1450549.0,5035290.0
J40/0124,1450528.0,5035570.0
J40/0125,1450738.0,5035650.0
J40/0126,1437284.0,5029681.0
J40/0127,1440797.0,5032186.0
J40/0128,1448379.0,5034988.0
J40/0129,1450399.0,5035450.0
J40/0130,1450359.0,5035450.0
J40/0132,1437984.0,5028982.0
J40/0133,1436184.0,5029780.0
J40/0134,1436227.0,5029887.0
J40/0135,1436984.0,5029381.0
J40/0136,1434707.0,5029770.0
J40/0137,1435684.0,5029980.0
J40/0138,1432741.0,5031106.0
J40/0139,1432447.0,5030145.0
J40/0140,1431645.0,5029306.0
J40/0141,1431541.0,5029336.0
J40/0142,1434408.0,5031179.0
J40/0143,1433684.0,5029478.0
J40/0145,1449182.0,5031189.0
J40/0146,1446257.0,5028573.0
J40/0147,1450809.0,5035320.0
J40/0148,1454532.0,5039013.0
J40/0149,1442526.0,5029510.0
J40/0153,1450140.0,5050451.0
J40/0159,1430451.0,5029688.0
J40/0160,1432036.0,5029558.0
J40/0161,1431854.0,5029013.0
J40/0163,1437430.0,5029272.0
J40/0176,1449877.0,5037589.0
J40/0177,1450747.0,5037270.0
J40/0191,1452584.0,5034461.0
J40/0212,1450725.0,5040789.0
J40/0213,1450695.0,5040639.0
J40/0214,1450935.0,5040630.0
J40/0216,1450735.0,5040429.0
J40/0217,1450813.0,5040433.0
J40/0218,1450655.0,5040329.0
J40/0219,1450895.0,5040340.0
J40/0220,1451015.0,5040890.0
J40/0221,1450985.0,5040730.0
J40/0223,1451125.0,5040800.0
J40/0224,1451247.0,5040442.0
J40/0226,1450655.0,5040229.0
J40/0228,1446309.0,5050006.0
J40/0231,1443656.0,5048765.0
J40/0233,1450955.0,5040940.0
J40/0234,1451275.0,5041320.0
J40/0236,1450539.0,5035380.0
J40/0237,1450879.0,5050449.0
J40/0239,1451817.0,5047859.0
J40/0243,1452029.0,5051171.0
J40/0245,1437024.0,5038648.0
J40/0246,1436887.0,5038520.0
J40/0247,1436878.0,5038460.0
J40/0250,1448887.0,5047029.0
J40/0252,1450695.0,5040519.0
J40/0254,1450130.0,5039034.0
J40/0255,1451800.0,5048119.0
J40/0256,1446947.0,5043500.0
J40/0258,1453292.0,5044491.0
J40/0261,1452942.0,5050707.0
J40/0262,1452810.0,5046314.0
J40/0264,1453804.0,5041841.0
J40/0265,1451326.0,5038890.0
J40/0266,1453103.0,5040273.0
J40/0267,1446543.0,5047959.0
J40/0268,1446819.0,5047472.0
J40/0272,1452034.0,5041047.0
J40/0274,1447855.0,5041118.0
J40/0275,1448574.0,5041918.0
J40/0279,1452575.0,5039691.0
J40/0281,1452114.0,5041830.0
J40/0282,1451563.0,5043130.0
J40/0283,1445347.0,5046096.0
J40/0284,1446945.0,5045605.0
J40/0285,1446557.0,5045830.0
J40/0286,1452780.0,5043889.0
J40/0289,1453413.0,5043631.0
J40/0291,1451004.0,5050164.0
J40/0294,1450032.0,5046913.0
J40/0296,1450799.0,5035380.0
J40/0298,1453391.0,5056840.0
J40/0301,1445030.0,5057894.0
J40/0303,1448160.0,5058013.0
J40/0305,1449793.0,5057099.0
J40/0308,1451398.0,5056290.0
J40/0314,1449877.0,5053308.0
J40/0316,1442647.0,5054223.0
J40/0318,1445867.0,5054065.0
J40/0320,1446671.0,5053158.0
J40/0326,1447129.0,5051106.0
J40/0328,1444698.0,5052585.0
J40/0333,1448692.0,5052025.0
J40/0339,1450918.0,5051588.0
J40/0340,1453316.0,5052824.0
J40/0341,1453258.0,5051811.0
J40/0343,1453770.0,5056678.0
J40/0346,1452426.0,5054519.0
J40/0348,1453060.0,5054601.0
J40/0350,1452881.0,5057540.0
J40/0352,1453790.0,5058101.0
J40/0356,1453372.0,5056642.0
J40/0363,1451380.0,5056277.0
J40/0364,1447758.0,5043639.0
J40/0372,1450702.0,5047072.0
J40/0380,1452287.0,5048223.0
J40/0398,1452280.0,5043628.0
J40/0459,1447587.0,5037518.0
J40/0469,1448612.0,5039583.0
J40/0547,1428327.0,5030200.0
J40/0567,1440127.0,5039452.0
J40/0592,1453382.0,5044581.0
J40/0607,1433846.0,5030543.0
J40/0615,1442539.0,5037743.0
J40/0616,1444917.0,5038636.0
J40/0617,1447312.0,5038584.0
J40/0619,1451749.0,5048545.0
J40/0620,1432336.0,5030214.0
J40/0631,1432860.0,5028746.0
J40/0632,1443412.0,5046977.0
J40/0638,1451082.0,5051763.0
J40/0639,1452157.0,5056256.0
J40/0653,1443764.0,5044319.0
J40/0693,1452360.0,5045222.0
J40/0703,1446121.0,5034688.0
